"date","geography","geography code","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"2011","Telford and Wrekin","E06000020","Total",166641,110069,102892,398,872,78,3019,2118,692,45599,10973
"2011","Staffordshire","E10000028","Total",848489,600127,578352,2017,2773,299,10817,3086,2783,193662,54700
"2011","Warwickshire","E10000031","Total",545474,377090,351891,1733,5699,505,5820,9434,2008,131408,36976
"2011","Birmingham","E08000025","Total",1073045,796138,494358,4780,22362,2205,234411,32376,5646,206821,70086
"2011","Coventry","E08000026","Total",316960,223737,170090,1067,11152,210,23665,15912,1641,72896,20327
"2011","Dudley","E08000027","Total",312925,224590,204320,657,1908,77,12902,3694,1032,68835,19500
"2011","Sandwell","E08000028","Total",308063,231613,170075,654,6810,73,25251,26934,1816,57716,18734
"2011","Solihull","E08000029","Total",206674,149359,135572,430,3684,353,5247,3504,569,44187,13128
"2011","Walsall","E08000030","Total",269323,199273,158971,516,4560,54,22146,11606,1420,53876,16174
"2011","Wolverhampton","E08000031","Total",249470,183597,138394,1015,9292,88,9062,22689,3057,49821,16052
"2011","Worcestershire","E10000034","Total",566169,395948,382240,1268,1145,355,7466,1413,2061,131861,38360
"2011","Bedford","E06000055","Total",157479,109898,93346,509,2420,171,8610,3336,1506,37229,10352
"2011","Central Bedfordshire","E06000056","Total",254381,164741,158236,779,1668,499,1931,746,882,72355,17285
"2011","Luton","E06000032","Total",203201,157234,96271,652,6749,326,49991,2347,898,33594,12373
"2011","Peterborough","E06000031","Total",183631,126155,104202,463,2320,144,17251,1184,591,45183,12293
"2011","Southend-on-Sea","E06000033","Total",173658,105233,96755,801,1161,2150,3309,149,908,54880,13545
"2011","Thurrock","E06000034","Total",157705,106749,99891,615,1178,221,3164,1224,456,41061,9895
"2011","Cambridgeshire","E10000003","Total",621210,383111,361532,3264,4142,1652,8990,895,2636,189016,49083
"2011","Essex","E10000012","Total",1393587,901444,860906,4693,8295,6662,13526,2197,5165,392047,100096
"2011","Hertfordshire","E10000015","Total",1116062,739334,650129,5502,21508,21345,30730,5048,5072,296046,80682
"2011","Norfolk","E10000020","Total",857888,538757,523163,2901,2295,983,5021,461,3933,254240,64891
"2011","Suffolk","E10000029","Total",728163,458055,443632,2094,2274,677,5818,626,2934,215921,54187
"2011","Camden","E09000007","Total",220338,118949,74821,2789,3141,9823,26643,465,1267,56113,45276
"2011","City of London","E09000001","Total",7375,4202,3344,92,145,166,409,18,28,2522,651
"2011","Hackney","E09000012","Total",246270,153170,95131,3075,1577,15477,34727,1872,1311,69454,23646
"2011","Hammersmith and Fulham","E09000013","Total",182493,123667,98808,2060,2097,1161,18242,442,857,43487,15339
"2011","Haringey","E09000014","Total",254926,167911,114659,2829,4539,7643,36130,808,1303,64202,22813
"2011","Islington","E09000019","Total",206125,110076,82879,2117,2108,1915,19521,569,967,61911,34138
"2011","Kensington and Chelsea","E09000020","Total",158649,110011,86005,2447,1386,3320,15812,263,778,32669,15969
"2011","Lambeth","E09000022","Total",303086,191782,160944,2963,3119,1134,21500,440,1682,84803,26501
"2011","Lewisham","E09000023","Total",275885,176225,145588,3664,6562,643,17759,531,1478,75155,24505
"2011","Newham","E09000025","Total",307984,258836,123119,2446,26962,342,98456,6421,1090,29373,19775
"2011","Southwark","E09000028","Total",288283,186574,151462,3884,3668,1006,24551,653,1350,77098,24611
"2011","Tower Hamlets","E09000030","Total",254096,166359,68808,2726,4200,1283,87696,821,825,48648,39089
"2011","Wandsworth","E09000032","Total",306995,200138,162590,2574,6496,1617,24746,832,1283,82740,24117
"2011","Westminster","E09000033","Total",219396,154335,97877,3194,4178,7237,40073,496,1280,44542,20519
"2011","Barking and Dagenham","E09000002","Total",185911,138837,104101,842,4464,425,25520,2952,533,35106,11968
"2011","Barnet","E09000003","Total",356386,269172,146866,4521,21924,54084,36744,1269,3764,57297,29917
"2011","Bexley","E09000004","Total",231997,159776,144093,1377,3547,234,5645,4156,724,55995,16226
"2011","Brent","E09000005","Total",311215,256699,129080,4300,55449,4357,58036,1709,3768,33054,21462
"2011","Bromley","E09000006","Total",309392,204895,187656,1580,4987,957,7841,736,1138,80303,24194
"2011","Croydon","E09000008","Total",363378,262967,205022,2381,21739,709,29513,1450,2153,72654,27757
"2011","Ealing","E09000009","Total",338449,264292,148055,4228,28915,1131,53198,26778,1987,50848,23309
"2011","Enfield","E09000010","Total",312466,239749,167417,1824,10927,4412,52141,1078,1950,48522,24195
"2011","Greenwich","E09000011","Total",254557,170286,134632,4223,9087,492,17349,3490,1013,65034,19237
"2011","Harrow","E09000015","Total",239056,201404,89181,2700,60407,10538,29881,2752,5945,22871,14781
"2011","Havering","E09000016","Total",237232,167884,155597,760,2963,1159,4829,1928,648,53549,15799
"2011","Hillingdon","E09000017","Total",273936,209949,134813,2386,22033,1753,29065,18230,1669,46492,17495
"2011","Hounslow","E09000018","Total",253957,197144,106660,3617,26261,651,35666,22749,1540,40351,16462
"2011","Kingston upon Thames","E09000021","Total",160060,106244,84684,1771,7502,775,9474,1236,802,41183,12633
"2011","Merton","E09000024","Total",199693,144441,111993,1884,12203,791,16262,498,810,41231,14021
"2011","Redbridge","E09000026","Total",278970,230231,102755,1840,31699,10213,64999,17377,1348,30691,18048
"2011","Richmond upon Thames","E09000027","Total",186990,117955,103319,1577,3051,1409,6128,1581,890,53195,15840
"2011","Sutton","E09000029","Total",190146,129825,111086,1368,8038,486,7726,325,796,46817,13504
"2011","Waltham Forest","E09000031","Total",258249,192845,124939,1987,5917,1259,56541,1209,993,46462,18942
"2011","Bracknell Forest","E06000036","Total",113205,73570,68524,825,1824,176,1276,455,490,32184,7451
"2011","Brighton and Hove","E06000043","Total",273369,133326,117276,2742,1792,2670,6095,342,2409,115954,24089
"2011","Isle of Wight","E06000046","Total",138265,86040,83671,459,312,124,524,45,905,40950,11275
"2011","Medway","E06000035","Total",263925,166945,152637,937,2756,208,5169,3846,1392,78995,17985
"2011","Milton Keynes","E06000042","Total",248821,154444,131352,1246,6918,427,11913,1372,1216,77939,16438
"2011","Portsmouth","E06000044","Total",205056,118358,106999,1162,1282,235,7162,468,1050,71826,14872
"2011","Reading","E06000038","Total",155698,98395,77848,1876,5661,355,11007,947,701,45931,11372
"2011","Slough","E06000039","Total",140205,115225,57726,743,8643,87,32655,14889,482,17024,7956
"2011","Southampton","E06000045","Total",236882,140793,122018,1331,2482,254,9903,3476,1329,79379,16710
"2011","West Berkshire","E06000037","Total",153822,101770,97896,495,1106,212,1218,236,607,41042,11010
"2011","Windsor and Maidenhead","E06000040","Total",144560,103104,90051,780,2660,475,5684,2941,513,31353,10103
"2011","Wokingham","E06000041","Total",154380,103017,91905,572,3183,508,4352,2043,454,40143,11220
"2011","Buckinghamshire","E10000002","Total",505283,348007,305804,2207,6244,1511,25781,4657,1803,121190,36086
"2011","East Sussex","E10000011","Total",526671,328311,315659,2190,1501,1074,4201,178,3508,155723,42637
"2011","Hampshire","E10000014","Total",1317788,855721,822179,7246,8928,1286,7999,2389,5694,367060,95007
"2011","Kent","E10000016","Total",1463740,965344,915200,6802,10943,1777,13932,10545,6145,391591,106805
"2011","Oxfordshire","E10000025","Total",653798,422576,393906,3257,3878,1893,15734,1192,2716,182344,48878
"2011","Surrey","E10000030","Total",1132390,767500,711110,6019,15018,3055,24378,3783,4137,280814,84076
"2011","West Sussex","E10000032","Total",806892,528152,498367,3057,7368,1434,12668,1137,4121,216844,61896
"2011","Bath and North East Somerset","E06000022","Total",176016,103452,99468,941,535,254,1179,140,935,57626,14938
"2011","Bournemouth","E06000028","Total",183491,113314,104828,1215,1292,1343,3264,156,1216,55911,14266
"2011","Bristol, City of","E06000023","Total",428234,233234,200254,2549,2712,777,22016,2133,2793,160218,34782
"2011","Cornwall","E06000052","Total",532273,325597,318357,1726,556,389,855,105,3609,161320,45356
"2011","Isles of Scilly","E06000053","Total",2203,1247,1218,9,1,4,3,0,12,742,214
"2011","North Somerset","E06000024","Total",202566,126499,123545,554,340,157,869,95,939,60867,15200
"2011","Plymouth","E06000026","Total",256384,153898,148917,881,567,168,2078,89,1198,84295,18191
"2011","Poole","E06000029","Total",147645,92527,89243,538,511,404,1035,79,717,43922,11196
"2011","South Gloucestershire","E06000025","Total",262767,162725,156504,708,1681,145,2176,623,888,80607,19435
"2011","Swindon","E06000030","Total",209156,130071,120287,1209,2597,151,3538,1228,1061,64780,14305
"2011","Torbay","E06000027","Total",130959,84814,82924,389,128,109,521,41,702,36035,10110
"2011","Wiltshire","E06000054","Total",470981,309758,301651,1621,1308,384,2074,303,2417,125045,36178
"2011","Devon","E10000008","Total",746399,470622,458778,2726,818,685,3091,263,4261,213045,62732
"2011","Dorset","E10000009","Total",412905,275722,269737,1280,550,519,1318,88,2230,104221,32962
"2011","Gloucestershire","E10000013","Total",596984,392807,379144,1772,2222,539,5741,449,2940,159496,44681
"2011","Somerset","E10000027","Total",529972,346597,339211,1612,506,337,1470,100,3361,141071,42304
"2011","Isle of Anglesey","W06000001","Total",69751,46200,45400,165,45,40,250,43,257,17797,5754
"2011","Gwynedd","W06000002","Total",121874,75276,72503,426,238,55,1378,39,637,36163,10435
"2011","Conwy","W06000003","Total",115228,76199,74506,347,206,62,583,17,478,30017,9012
"2011","Denbighshire","W06000004","Total",93734,61416,60129,266,167,32,469,8,345,25132,7186
"2011","Flintshire","W06000005","Total",152506,102743,101298,344,158,70,482,29,362,38726,11037
"2011","Wrexham","W06000006","Total",134844,87746,85576,351,504,58,860,87,310,36927,10171
"2011","Powys","W06000023","Total",132976,84173,82120,567,324,80,235,49,798,37050,11753
"2011","Ceredigion","W06000008","Total",75922,45890,43981,355,197,64,521,30,742,23329,6703
"2011","Pembrokeshire","W06000009","Total",122439,78973,77162,422,230,50,425,36,648,33442,10024
"2011","Carmarthenshire","W06000010","Total",183777,116082,113534,420,351,82,625,125,945,53036,14659
"2011","Swansea","W06000011","Total",239023,139981,131451,856,780,159,5415,278,1042,81219,17823
"2011","Neath Port Talbot","W06000012","Total",139812,82360,80646,312,144,39,573,113,533,47265,10187
